claim,label,language,output,final_answer,correct,inconclusive
Best BJP leader Muralinohar Joshi is eating sweet to Modi because of the start of the construction of the Ram Temple in Ayodhya,half true,bn,"To determine the accuracy of the claim, we need to verify several aspects:

1. **Identity of the Leaders**: Murli Manohar Joshi and Narendra Modi are both prominent leaders of the Bharatiya Janata Party (BJP).
2. **Event**: The construction of the Ram Temple in Ayodhya is a significant event for the BJP and its supporters.
3. **Action**: The claim states that Murli Manohar Joshi is eating sweets to celebrate this event with Narendra Modi.

Given the information available up to my knowledge cutoff in October 2023, there is no specific, verified report or widely recognized event that confirms Murli Manohar Joshi eating sweets with Narendra Modi specifically to celebrate the start of the construction of the Ram Temple in Ayodhya.

Final Answer: False",false,False,False
"Tabligh Jamaat -e -Islami posts on Facebook about Muslims, Indian industrialist BR Sethi is blacklisted by the Dubai government.",mostly false,bn,"To determine the accuracy of the claim, we need to break it down into two parts:

1. **Tabligh Jamaat-e-Islami posts on Facebook about Muslims**: Tabligh Jamaat is a global Islamic missionary movement that focuses on urging Muslims to return to practicing their religion as it was practiced during the lifetime of the Islamic prophet Muhammad. They are known to use various platforms, including social media, to share their messages. However, the specific nature of the posts mentioned in the claim is not detailed, making it difficult to verify without more context.

2. **Indian industrialist BR Sethi is blacklisted by the Dubai government**: BR Shetty (often spelled Sethi) is an Indian-born businessman who founded NMC Health and other enterprises in the UAE. There have been reports of financial troubles and legal issues involving BR Shetty, including investigations and travel bans. However, the term ""blacklisted"" can be interpreted in various ways, and without specific details, it's challenging to confirm this part of the claim definitively.

Given the lack of specific evidence and context for both parts of the claim, it is difficult to verify the entire statement as true or false. 

Final Answer: Half True",half true,False,False
This road was damaged in the picture because of the cyclone Amphn,mostly false,bn,"To determine the accuracy of the claim ""This road was damaged in the picture because of the cyclone Amphn,"" we need to verify the following:

1. **Existence of Cyclone Amphan**: Cyclone Amphan was a powerful tropical cyclone that caused significant damage in May 2020, particularly in India and Bangladesh.

2. **Damage Caused by Cyclone Amphan**: Cyclone Amphan did cause extensive damage to infrastructure, including roads, in the affected regions.

3. **Verification of the Picture**: Without the actual picture, it is impossible to verify if the specific road damage shown is directly attributable to Cyclone Amphan.

Given the information available, we can confirm that Cyclone Amphan did cause road damage, but we cannot verify the specific picture in question.

Final Answer: Half True",half true,False,False
Some Muslim people say CAA-NRC is not wrong.,mostly false,bn,"The claim ""Some Muslim people say CAA-NRC is not wrong"" can be evaluated based on the fact that opinions on political and social issues can vary widely within any community, including the Muslim community. It is plausible that there are some individuals within the Muslim community who support or do not oppose the Citizenship Amendment Act (CAA) and the National Register of Citizens (NRC) in India. Therefore, the statement is not an absolute claim about the entire Muslim community but rather acknowledges the existence of diverse opinions.

Final Answer: True",true,False,False
Corona virus found in broiler chicken,mostly false,hi,"Final Answer: False

There is no credible scientific evidence to support the claim that the coronavirus, specifically SARS-CoV-2 which causes COVID-19 in humans, has been found in broiler chickens. While coronaviruses can infect a variety of animals, the specific virus responsible for the COVID-19 pandemic has not been detected in broiler chickens.",,False,True
Congress MLA Anil Upadhyay assaulted policeman in restaurant,false,hi,"Final Answer: False

There is no verifiable information or credible news sources confirming that a Congress MLA named Anil Upadhyay assaulted a policeman in a restaurant. It appears to be a fabricated claim.",,False,True
"In the video, a huge waterfall water is seen falling on the Shivling.The video has been described as Pashupati Nath Temple in Nepal.",false,hi,"To determine the accuracy of the claim, we need to verify the details about the video and the location it describes. The Pashupatinath Temple is a famous Hindu temple dedicated to Lord Shiva, located in Kathmandu, Nepal. It is known for its architectural beauty and religious significance, but it is not typically associated with a huge waterfall falling on a Shivling.

If the video shows a large waterfall directly falling on a Shivling, it is unlikely to be from the Pashupatinath Temple, as this temple does not feature such a natural phenomenon. The temple complex is situated on the banks of the Bagmati River, and while it has many shrines and smaller temples, a large waterfall is not part of its known features.

Therefore, based on the information available, the claim that the video is from the Pashupatinath Temple in Nepal is likely incorrect.

Final Answer: False",false,True,False
You have been elected the best person in the world in the world trial.,mostly false,bn,Final Answer: False,false,False,False
A video on social media is widely as a claim that a deceased party was alive before the final funeral.,half true,pa,"To determine the accuracy of the claim that a deceased party was alive before the final funeral, we would need to verify the authenticity of the video and the context in which it was recorded. This would involve checking the credibility of the source, any corroborating evidence, and expert opinions.

Given that we do not have access to the video or additional information to verify the claim, we cannot definitively assess its truthfulness. However, such claims are often sensational and can be misleading without proper context and verification.

Final Answer: Mostly False",mostly false,False,False
"In Madhya Pradesh, a Hindu girl was burnt alive for participating in the Prayer Meet in the church.",mostly false,hi,Final Answer: False,false,False,False
"The mosque of Bangalore was named after Prime Minister Narendra Modi,",mostly false,bn,Final Answer: False,false,False,False
A picture of a 24 -year -old Muslim girl who passed the IAS examination.,mostly false,hi,"To determine the accuracy of the claim ""A picture of a 24-year-old Muslim girl who passed the IAS examination,"" we need to verify the following:

1. The identity of the person in the picture.
2. The age of the person.
3. The religious background of the person.
4. Whether the person has indeed passed the IAS examination.

Without specific details or a picture to analyze, it is impossible to verify all these aspects conclusively. Therefore, based on the information provided, we cannot confirm the claim.

Final Answer: False",false,False,False
Claiming that the girl in the picture is the need for the time that the cost of going to Canada.,false,pa,"The statement ""Claiming that the girl in the picture is the need for the time that the cost of going to Canada"" is confusing and does not make logical sense. It appears to be a jumbled mix of ideas that do not form a coherent or factual claim. Therefore, it cannot be evaluated as true or false based on the information provided.

Final Answer: False",false,True,False
A woman from America has given birth to 17 pair of boys simultaneously.,false,hi,"Final Answer: False

The claim that a woman from America has given birth to 17 pairs of boys simultaneously is not true. Such an event is biologically implausible and has not been documented in medical history.",,False,True
Social media and former Indian cricketer is claiming to have been claimed that former Indian cricketer has been killed.,half true,pa,"To determine the accuracy of the claim that a former Indian cricketer has been killed, we need to verify the information from reliable sources such as news outlets, official statements, or credible social media accounts. 

Given that I don't have real-time access to current events, I cannot verify this claim directly. However, if you have access to the internet, you can check recent news articles or official announcements to confirm the validity of this claim.

If there are no credible sources confirming the death of a former Indian cricketer, the claim would be 'False'. If there are credible sources confirming it, the claim would be 'True'.

Final Answer: False",false,False,False
Prime Minister Narendra Modi is bowing down the industrialist 'Adani's wife'.,mostly false,bn,"To determine the accuracy of the claim ""Prime Minister Narendra Modi is bowing down the industrialist 'Adani's wife',"" we need to consider the context and evidence available. 

1. **Context**: The phrase ""bowing down"" can be interpreted in various ways, such as a gesture of respect, a cultural greeting, or a symbolic act. Without specific context or visual evidence, it's challenging to ascertain the exact nature of the claim.

2. **Evidence**: There is no widely recognized or verified evidence, such as photographs, videos, or credible news reports, that supports the claim that Prime Minister Narendra Modi has bowed down to Adani's wife in a manner that would be newsworthy or significant.

3. **Credibility**: The claim appears to be sensational and lacks substantiation from reliable sources. It is important to rely on credible news outlets and verified information when assessing such claims.

Given the lack of evidence and the potential for misinterpretation, the claim does not hold up to scrutiny.

Final Answer: False",false,False,False
Ratan Tata bought 50 percent of the 18-year-old young man's generator pharmacy start-up.,false,mr,Final Answer: False,false,True,False
The Indian army built a bridge over the Galwan river which China wanted to stop,half true,gu,Final Answer: True,true,False,False
The picture shows that Russian President Vladimir Putin has placed a portrait of Ambedkar at Dr. Bhimara of India at his office,false,bn,Final Answer: False,false,True,False
Put 1000 work on the side and listen to this audio clip for you and your family for the goodness,false,gu,"To determine the accuracy of the claim ""Put 1000 work on the side and listen to this audio clip for you and your family for the goodness,"" we need to evaluate several aspects:

1. **Clarity and Specificity**: The claim is vague and lacks specific details. It does not explain what ""1000 work"" means or what kind of ""goodness"" the audio clip provides.

2. **Evidence and Verification**: There is no evidence provided to support the claim that listening to the audio clip will result in ""goodness"" for you and your family. Without evidence, the claim cannot be verified.

3. **Context and Relevance**: The context in which the claim is made is unclear. It is not specified what the audio clip contains or why it would be beneficial.

Given the lack of clarity, evidence, and context, the claim cannot be substantiated.

Final Answer: False",false,True,False
In this video West Bengal police can be seen bombing protesters,half true,bn,"To determine the accuracy of the claim ""In this video West Bengal police can be seen bombing protesters,"" I would need to review the specific video in question and verify the context and content. However, since I cannot view videos or access real-time data, I can provide guidance on how to assess such a claim.

1. **Source Verification**: Check the credibility of the source that shared the video. Reliable news outlets or official statements from authorities can provide context.
2. **Context**: Understand the context in which the video was taken. Was it during a protest, and what were the circumstances?
3. **Content Analysis**: Look for clear indicators in the video that show the police and the actions they are taking. Are there visible signs of bombing or other forms of violence?
4. **Cross-Referencing**: Compare the video with other reports or videos from the same event to see if there is a consistent narrative.

Without the ability to view the video and verify these details, I cannot definitively classify the claim. However, if you have access to these resources, you can follow the steps above to make an informed judgment.

Final Answer: **Unable to determine**",,False,True
Tata Motors can go up to 5 km if the electric car called Evision's Evens can go up to 5 km and it has a 5 -year warranty on the battery.,mostly false,bn,Final Answer: False,false,False,False
This video also shows it clearly… .The wife of US President Donald Trump gives a gift to former US President Obama… who accepts the gift for Obama to accept… .and then he throws the gift ahead….Going,half true,gu,"Final Answer: False

The claim that former US President Obama threw away a gift given to him by Melania Trump is false. During the 2017 inauguration, Melania Trump did give a gift to Michelle Obama, not Barack Obama. The video shows Michelle Obama accepting the gift and then handing it off to a staff member, not throwing it away.",,False,True
"It was a step for the good of Punjab to offer the Ram Rahim by Sukhbir Badal: Prem Singh Chandumajra, former MPs",false,pa,"To determine the accuracy of the claim ""It was a step for the good of Punjab to offer the Ram Rahim by Sukhbir Badal: Prem Singh Chandumajra, former MPs,"" we need to consider several factors:

1. **Context and Source Verification**: Verify if Prem Singh Chandumajra, a former MP, actually made this statement.
2. **Intent and Interpretation**: Understand the context in which the statement was made and what was meant by ""offering the Ram Rahim.""
3. **Public and Political Reactions**: Assess the public and political reactions to this statement to gauge its perceived truthfulness and impact.

Without specific context or additional information, it is challenging to definitively categorize the claim. However, based on the structure and typical political discourse, it seems to be a subjective statement that could be interpreted in various ways.

Final Answer: Half True",half true,False,False
Famous French footballer Paul Pogba has retired from a football game in protest against the French President's statement on Islam.,false,gu,"To determine the accuracy of the claim that ""Famous French footballer Paul Pogba has retired from a football game in protest against the French President's statement on Islam,"" we need to verify the facts from reliable sources.

1. **Paul Pogba's Retirement**: As of the latest information available, Paul Pogba has not officially announced his retirement from football. He continues to play professionally.

2. **Protest Against French President's Statement**: There have been instances where athletes, including Pogba, have expressed their views on political and social issues. However, there is no verified information or official statement from Pogba indicating that he has retired specifically in protest against any statement made by the French President on Islam.

Given the lack of credible evidence supporting the claim, it appears to be unfounded.

Final Answer: False",false,True,False
Viral Photo,half true,bn,"To determine the accuracy of the claim ""Viral Photo,"" I would need more context about the specific photo in question. The term ""viral photo"" simply means a photo that has gained widespread attention and has been shared extensively on social media or other platforms. 

If the claim is that a particular photo has gone viral, the truthfulness of the claim would depend on whether the photo has indeed been widely shared and recognized. 

Without additional context or specific details about the photo, I cannot definitively assess the claim. However, if we are to assume that the photo in question has indeed been widely shared and recognized, the claim could be considered 'True.'

Final Answer: True",true,False,False
Where the masculine is said to have been a matter of fact.,false,gu,"To determine the accuracy of the claim ""Where the masculine is said to have been a matter of fact,"" we need to consider the context and the specific meaning of the phrase. The phrase is somewhat ambiguous and could be interpreted in different ways depending on the context. However, without additional context, it is challenging to definitively assess the truthfulness of the statement.

Given the lack of context and the ambiguity of the phrase, it is difficult to categorize it accurately. Therefore, the most appropriate response would be to acknowledge the uncertainty.

Final Answer: Half True",half true,False,False
"The East India Company's ship is seen to trade in India in this film, taken on the 21st",mostly false,bn,"To determine the accuracy of the claim, we need to break down the statement into its components and verify each part:

1. ""The East India Company's ship"" - The East India Company was a historical entity that operated from the 17th to the 19th century.
2. ""is seen to trade in India"" - The East India Company was indeed involved in trade in India.
3. ""in this film"" - This part of the statement is ambiguous without specifying which film is being referred to.
4. ""taken on the 21st"" - This part is also ambiguous without specifying the month or year.

Given the historical context, the East India Company did trade in India, but the statement lacks specific details about the film and the date mentioned. Without this information, it is difficult to fully verify the claim.

Final Answer: Half True",half true,False,False
"In Jharkhand, a boy named Nafis attacked his Hindu girlfriend with scissors.",half true,hi,"To determine the accuracy of the claim, I would need to verify the information from reliable sources such as news reports, police statements, or other credible documentation. Without access to such sources, I cannot definitively confirm or refute the claim.

Final Answer: I cannot determine the accuracy of the claim without further information.",,False,True
"This picture of the burning truck is of riots in Bengaluru on August 11, when the mob set fire",half true,hi,"To determine the accuracy of the claim, we need to verify the context and details of the event described. The claim states that the picture of the burning truck is from riots in Bengaluru on August 11, when the mob set fire.

1. **Event Verification**: There were indeed riots in Bengaluru on August 11, 2020, triggered by a social media post that led to violence, including arson and destruction of property.
2. **Image Verification**: To confirm the specific image of the burning truck, we would need to cross-reference it with credible news sources or image databases to ensure it matches the event described.

Without the actual image to verify, we can only rely on the context provided. Given that the event did occur and involved arson, the claim is likely accurate, but without the image, we cannot be completely certain.

Final Answer: Mostly True",mostly true,False,False
In the picture shows CPI-M leader Sitaram Yechuri and Vrinda Karat hung a placard in the neck to support China,false,bn,Final Answer: False,false,True,False
India's group of Muslims tied up,half true,bn,Final Answer: False,false,False,False
A video of a woman beating in the elevator Delhi Metro,half true,mr,"To determine the accuracy of the claim ""A video of a woman beating in the elevator Delhi Metro,"" I would need to verify the existence and context of such a video through reliable sources such as news reports, official statements, or credible eyewitness accounts.

Given that I do not have real-time access to current events or the ability to verify specific incidents, I cannot definitively confirm or deny the claim based on the information provided.

Final Answer: False",false,False,False
US protesters in protest of George Floyd's death,half true,bn,Final Answer: True,true,False,False
The photo is a public meeting of Kanhaiya Kumar in Varanasi.,false,bn,"To determine the accuracy of the claim ""The photo is a public meeting of Kanhaiya Kumar in Varanasi,"" I would need to verify the following details:

1. **Identity of the Person**: Confirm that the person in the photo is indeed Kanhaiya Kumar.
2. **Event Type**: Verify that the event depicted in the photo is a public meeting.
3. **Location**: Ensure that the location of the event is Varanasi.

Without access to the photo and additional context or verification sources, I cannot definitively confirm or refute the claim. However, if we assume that the claim is based on verifiable information and there are no indications of it being misleading, we might consider it as 'True'. 

Given the lack of specific evidence to analyze, I must refrain from making a definitive judgment.

Final Answer: Half True",half true,False,False
"The video is in Shaheenbagh, the women's position.",mostly false,bn,"To determine the accuracy of the claim ""The video is in Shaheenbagh, the women's position,"" I would need to verify the context and content of the video in question. This involves checking the location, the presence of women, and any relevant details that can confirm or refute the claim.

However, since I do not have access to the video or additional context, I cannot definitively verify the claim. Therefore, I cannot provide a final answer based on the information given.

Final Answer: Unable to determine.",,False,True
The Italian doctor couple seen in the picture gave their lives while treating the corona patients.,mostly false,hi,"To determine the accuracy of the claim, we need to verify the specific details about the Italian doctor couple mentioned. This includes confirming their identities, their roles in treating COVID-19 patients, and whether they indeed lost their lives in the line of duty.

Without specific names or additional context, it is challenging to verify the claim definitively. However, based on available information and the prevalence of misinformation during the COVID-19 pandemic, it is important to approach such claims with caution.

Given the lack of verifiable details and the potential for misinformation, the claim cannot be confirmed as true.

Final Answer: False",false,False,False
A video of a decaying road in Delhi in which two women can be seen falling into the gutter.,mostly false,hi,"To determine the accuracy of the claim, I would need to verify the existence of such a video and confirm the details mentioned. However, as an AI, I don't have real-time access to current events or the ability to verify specific videos.

Given the information provided, I cannot definitively confirm or deny the claim. Therefore, I cannot provide a final answer based on the information at hand.

Final Answer: Unable to determine.",,False,True
Sadhvi Pragya has been acquitted by the court allegations of terrorism,mostly false,hi,"To determine the accuracy of the claim that ""Sadhvi Pragya has been acquitted by the court allegations of terrorism,"" we need to look at the specific legal proceedings and outcomes related to her case.

Sadhvi Pragya Singh Thakur was one of the accused in the 2008 Malegaon bomb blast case. Initially, she was arrested and charged under various sections of the Indian Penal Code and the Unlawful Activities (Prevention) Act (UAPA). However, in 2017, the National Investigation Agency (NIA) dropped charges against her under the Maharashtra Control of Organised Crime Act (MCOCA) but continued to prosecute her under other sections, including those related to terrorism.

As of the latest updates, Sadhvi Pragya has not been fully acquitted of all terrorism-related charges. She was granted bail in 2017, but the trial is still ongoing.

Final Answer: False",false,False,False
Sushma Swaraj said that not a single man died in Balakot AIRRIC,mostly false,hi,"To determine the accuracy of the claim that ""Sushma Swaraj said that not a single man died in Balakot AIRRIC,"" we need to verify the statement made by Sushma Swaraj and the context in which it was made.

Sushma Swaraj, who was the External Affairs Minister of India, did make a statement regarding the Balakot airstrike conducted by the Indian Air Force on February 26, 2019. The airstrike targeted a Jaish-e-Mohammed (JeM) training camp in Balakot, Pakistan, in response to the Pulwama terror attack.

In her statement, Sushma Swaraj mentioned that the airstrike was carried out in a manner that ensured no civilian casualties. However, she did not explicitly state that ""not a single man died."" The Indian government claimed that the airstrike targeted and killed a significant number of terrorists, but there were no civilian casualties.

Given this context, the claim that ""Sushma Swaraj said that not a single man died in Balakot AIRRIC"" is not accurate. She did not make such a specific statement about no one dying; rather, she emphasized the absence of civilian casualties.

Final Answer: False",false,False,False
"In the picture, the sister of Delhi riots, Molla Mishra, married a man named Molla Shahzad Ali and married a man",mostly false,bn,"To determine the accuracy of the claim, we need to verify several key points:

1. The identity of ""Molla Mishra"" and whether she is indeed related to the Delhi riots.
2. Whether ""Molla Mishra"" married a man named ""Molla Shahzad Ali.""
3. The context and accuracy of the information provided.

Given the unusual nature of the names and the lack of widely known public figures or verified reports matching these details, it is highly likely that this claim is fabricated or based on misinformation.

Final Answer: False",false,False,False
This image made by Japanese neurologist helps to learn about emotional stress,mostly false,bn,"To determine the accuracy of the claim ""This image made by Japanese neurologist helps to learn about emotional stress,"" we need to consider several factors:

1. **Source Verification**: Is there a credible Japanese neurologist associated with the creation of the image?
2. **Content Relevance**: Does the image provide scientifically valid information about emotional stress?
3. **Expert Consensus**: Is the image recognized by the scientific community as a useful tool for understanding emotional stress?

Without specific details about the image in question, it is challenging to verify the claim fully. However, if we assume that the image is widely circulated on social media or similar platforms without proper attribution or scientific backing, it is likely that the claim is exaggerated or misleading.

Given the lack of specific evidence supporting the claim and the potential for misinformation, the most appropriate classification would be:

Final Answer: Mostly False",mostly false,True,False
In the video one octopus is seen walking on the edge of the sea,mostly false,bn,"To determine the accuracy of the claim ""In the video one octopus is seen walking on the edge of the sea,"" we need to consider the specific details provided:

1. **Presence of an Octopus**: The claim states that there is an octopus in the video.
2. **Action of Walking**: The octopus is described as ""walking.""
3. **Location**: The octopus is said to be on the ""edge of the sea.""

If the video indeed shows an octopus moving in a manner that can be described as walking (using its tentacles to move along a surface) and this occurs at the boundary between land and sea (the edge of the sea), then the claim would be accurate.

Given that octopuses are known to exhibit such behavior, especially in intertidal zones where they can move between water and land, the claim is plausible.

Final Answer: True",true,False,False
A picture of Germany where foreign children are adopting Sanatan civilization in Gurukul.,half true,hi,"To determine the accuracy of the claim ""A picture of Germany where foreign children are adopting Sanatan civilization in Gurukul,"" we need to verify several aspects:

1. **Location Verification**: Is the picture indeed from Germany?
2. **Subject Verification**: Are the children in the picture foreign (non-Indian)?
3. **Activity Verification**: Are the children adopting Sanatan civilization practices in a Gurukul setting?

Without the actual picture and additional context, it is challenging to verify these claims definitively. However, based on general knowledge and the likelihood of such a specific scenario, it is improbable but not impossible. 

Given the lack of concrete evidence to support all parts of the claim, the most reasonable conclusion is:

Final Answer: Mostly False",mostly false,False,False
This photo is of the Babri Masjid,mostly false,bn,"To determine the accuracy of the claim ""This photo is of the Babri Masjid,"" I would need to visually inspect the photo in question. Since I cannot view images, I am unable to verify the claim directly.

Final Answer: False",false,False,False
Ram Bridge is seen through satellite due to low environmental pollution,mostly false,bn,"Final Answer: False

The claim that the ""Ram Bridge"" (also known as Adam's Bridge or Rama's Bridge) is seen through satellite due to low environmental pollution is false. The visibility of Adam's Bridge in satellite images is not primarily due to low environmental pollution but rather because it is a natural chain of limestone shoals and sandbanks that are physically present and can be captured by satellite imagery. The clarity of satellite images can be influenced by various factors, including weather conditions and the resolution of the satellite, but not specifically by environmental pollution levels.",,False,True
The President of Shiromani Akali Dal (Democratic) President and Rajya Sabha Member Bharadev Singh Dhandev Singh Dhangasa has arranged to the camp performed by Sukhbir Badal.,false,pa,"To determine the accuracy of the claim, we need to verify several key points:

1. **Existence and Identity of Bharadev Singh Dhandev Singh Dhangasa**: We need to confirm if there is a person by this name who is the President of Shiromani Akali Dal (Democratic) and a Rajya Sabha Member.
2. **Shiromani Akali Dal (Democratic)**: We need to verify if this faction exists and if it is led by the mentioned individual.
3. **Camp Arranged by Sukhbir Badal**: We need to check if there has been any recent camp organized by Sukhbir Badal and if Bharadev Singh Dhandev Singh Dhangasa had any involvement in arranging it.

Upon researching:

1. **Bharadev Singh Dhandev Singh Dhangasa**: There is no verifiable information or records of a person by this name holding the positions mentioned.
2. **Shiromani Akali Dal (Democratic)**: This faction does not appear to be a recognized or prominent faction within the Shiromani Akali Dal.
3. **Sukhbir Badal**: He is a prominent leader of the Shiromani Akali Dal (SAD), but there is no evidence linking him to any camp arranged by the aforementioned individual.

Given the lack of verifiable information and the inconsistencies in the claim, it appears to be fabricated.

Final Answer: False",false,True,False
A fierce fire broke out due to leaking gas tanker near Shahdara Mor in Delhi.,mostly false,hi,"To determine the accuracy of the claim ""A fierce fire broke out due to leaking gas tanker near Shahdara Mor in Delhi,"" I would need to verify the information through reliable news sources or official reports. 

However, since I don't have real-time access to current events or databases, I cannot confirm the veracity of this specific claim at this moment.

Final Answer: I cannot determine the accuracy of this claim without further information.",,False,True
Chief Minister Uddhav Thackeray's photo watching Republic News Channel,half true,mr,"To determine the accuracy of the claim ""Chief Minister Uddhav Thackeray's photo watching Republic News Channel,"" I would need to verify the existence of such a photo and its authenticity. This would typically involve checking reliable news sources, official statements, or credible fact-checking websites.

Given that I don't have real-time access to external sources or the ability to verify current events, I cannot definitively confirm or deny the claim based on the information provided.

Final Answer: I cannot determine the accuracy of the claim with the information available.",,False,True
Claim to show a picture of the attacker who slapped Kejriwal,false,hi,"To determine the accuracy of the claim ""Claim to show a picture of the attacker who slapped Kejriwal,"" we need to verify if the picture in question genuinely depicts the individual who attacked Arvind Kejriwal.

1. **Verification of the Incident**: Arvind Kejriwal, the Chief Minister of Delhi, has been attacked in the past. For instance, in 2019, he was slapped during a roadshow in Delhi.

2. **Verification of the Picture**: To confirm the authenticity of the picture, we would need to cross-reference it with credible news sources, official statements, or verified footage from the incident.

3. **Credible Sources**: If the picture has been confirmed by reliable news outlets or official sources as depicting the attacker, then the claim can be considered true. If there is no such confirmation or if the picture has been debunked, the claim would be false.

Without specific details or the actual picture to verify, we can only provide a general guideline. However, based on the need for verification from credible sources:

Final Answer: Half True",half true,False,False
