claim,label,language,output,correct,inconclusive
The Ministry of Infrastructure is unable to absorb 50%of the budget.Unalcuted in a high -speed car ...,mostly true,ka,საბოლოო პასუხი: მცდარი.,False,True
We have significant progress in agriculture,false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა პრეტენზია „We have significant progress in agriculture“ მართალი, საჭიროა განვიხილოთ სხვადასხვა ფაქტორები, როგორიცაა ტექნოლოგიური ინოვაციები, პროდუქტიულობის ზრდა, მდგრადი პრაქტიკების დანერგვა და სხვა მნიშვნელოვანი მიღწევები სოფლის მეურნეობაში.

ბოლო ათწლეულებში, სოფლის მეურნეობაში მართლაც მოხდა მნიშვნელოვანი პროგრესი. მაგალითად:
1. **ტექნოლოგიური ინოვაციები**: თანამედროვე ტექნოლოგიების, როგორიცაა GPS, დრონები და სენსორები, გამოყენება მნიშვნელოვნად აუმჯობესებს მოსავლის მართვას და პროდუქტიულობას.
2. **გენეტიკური მოდიფიკაცია და შერჩევითი გამრავლება**: ეს მეთოდები ხელს უწყობს უფრო მდგრადი და პროდუქტიული კულტურების შექმნას.
3. **მდგრადი პრაქტიკები**: ორგანული და ეკოლოგიურად სუფთა მეთოდების დანერგვა ხელს უწყობს გარემოს დაცვას და ნიადაგის ხარისხის გაუმჯობესებას.
4. **სარწყავი სისტემები**: თანამედროვე სარწყავი სისტემები, როგორიცაა წვეთოვანი სარწყავი, მნიშვნელოვნად ამცირებს წყლის მოხმარებას და ზრდის მოსავლის ეფექტურობას.

ამ ფაქტორების გათვალისწინებით, შეგვიძლია ვთქვათ, რომ სოფლის მეურნეობაში მართლაც მოხდა მნიშვნელოვანი პროგრესი.

საბოლოო პასუხი: ძირითადად მართალია.",False,True
"""Studies show that for the first time in these years the confidence in the police has fallen.""",half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"In order to mitigate foreign shocks, the government has reduced the 2014 budget deficit",mostly false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა ეს პრეტენზია მართებული, საჭიროა რამდენიმე ფაქტორის გათვალისწინება:

1. **ბიუჯეტის დეფიციტის შემცირება**: უნდა დადგინდეს, ნამდვილად შეამცირა თუ არა მთავრობამ 2014 წლის ბიუჯეტის დეფიციტი.
2. **მიზეზი**: უნდა დადგინდეს, იყო თუ არა ბიუჯეტის დეფიციტის შემცირების მიზეზი უცხოური შოკების შემსუბუქება.

თუ ორივე ეს ფაქტორი დადასტურებულია, პრეტენზია შეიძლება ჩაითვალოს მართებულად. თუ მხოლოდ ერთი ფაქტორი დადასტურებულია, პრეტენზია შეიძლება ჩაითვალოს ნაწილობრივ მართებულად. თუ არც ერთი ფაქტორი არ დადასტურებულია, პრეტენზია მცდარია.

მიუხედავად ამისა, ამ ინფორმაციის გარეშე, შეუძლებელია ზუსტი შეფასების გაკეთება.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
"Everyone [alien] can buy land plots, without any restriction",mostly false,ka,საბოლოო პასუხი: მცდარი,False,True
"Today, according to the states specified in the state budget, 11 thousand more officials serve ...",half true,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა ეს პრეტენზია მართალი, საჭიროა რამდენიმე ფაქტორის გათვალისწინება:

1. **წყაროების შემოწმება**: უნდა გადავამოწმოთ, არის თუ არა ეს ინფორმაცია დადასტურებული სანდო წყაროებით, როგორიცაა სახელმწიფო ბიუჯეტის დოკუმენტები ან ოფიციალური განცხადებები.
2. **დეტალების სიზუსტე**: უნდა დავრწმუნდეთ, რომ 11 ათასი ახალი ოფიციალური პირი ნამდვილად ემატება იმ რაოდენობას, რომელიც ადრე იყო მითითებული.
3. **კონტექსტი**: უნდა გავითვალისწინოთ, არის თუ არა ეს ცვლილება დროებითი ან მუდმივი, და რა მიზეზით მოხდა ეს ზრდა.

თუ ეს ინფორმაცია დადასტურებულია და ზუსტად ასახავს მიმდინარე მდგომარეობას, მაშინ პრეტენზია შეიძლება ჩაითვალოს მართალად. თუ ინფორმაცია ნაწილობრივ სწორია ან კონტექსტი არ არის სრულად განმარტებული, მაშინ შეიძლება ჩაითვალოს ძირითადად მართალად ან ნახევრად მართალად.

საბოლოო პასუხი: ამ ეტაპზე, დამატებითი ინფორმაციის გარეშე, ვერ ვიტყვი ზუსტად. საჭიროა მეტი მონაცემების გადამოწმება.",False,True
"“As a result of competitions in public sector until January 2014, 85%of public servants service ...",mostly false,ka,"იმისათვის, რომ ამ პრეტენზიის სიზუსტე შევაფასოთ, საჭიროა მეტი ინფორმაცია და კონტექსტი. მაგალითად, უნდა ვიცოდეთ, თუ რომელ ქვეყანაში ან რეგიონში ხდება საუბარი, რა სახის კონკურსებზეა საუბარი და რა წყაროებიდან მოდის ეს მონაცემები. ამ ინფორმაციის გარეშე, რთულია ზუსტად განვსაზღვროთ პრეტენზიის სიზუსტე.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
"""You have been convicted of 300,000 people in 9 years""",false,ka,საბოლოო პასუხი: მცდარი,False,True
"Sagarejo has been in the city for 5 years, but there is no water ... People have been watching since 2015 ...",mostly true,ka,საბოლოო პასუხი: მცდარი.,False,True
"37% was approximately state debt and today is 44%, with a major role in the exchange role in that",mostly false,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"“According to Article 12 of the Law on Legal Entity of Public Law, today the universities are firm ...",true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"Electric transport appears in Batumi for the first time not only in the region, but perhaps the whole post -Soviet Siv ...",mostly false,ka,საბოლოო პასუხი: მცდარი.,False,True
"Despite increased health funding, poverty increased in 2017 ... Citizens of Health Knife ...",mostly true,ka,საბოლოო პასუხი: მცდარი,False,True
"There are 60 streets in Gori for six years, with another 25 streets this year will be added",mostly true,ka,საბოლოო პასუხი: მცდარი,False,True
The 2017 FDI is recorded in the history of independent Georgia,half true,ka,"საბოლოო პასუხი: ნახევრად მართალია

განმარტება: 2017 წლის პირდაპირი უცხოური ინვესტიციები (FDI) ნამდვილად შეიძლება იყოს მნიშვნელოვანი მოვლენა საქართველოს ეკონომიკური ისტორიისთვის, მაგრამ პრეტენზია არ შეიცავს საკმარის დეტალებს იმის დასადასტურებლად, რომ ეს არის განსაკუთრებული ან გამორჩეული მოვლენა. ამიტომ, პრეტენზია შეიძლება იყოს ნაწილობრივ მართალი, მაგრამ საჭიროებს დამატებით კონტექსტს და მონაცემებს.",False,True
"""14,000 convicts are out of jail and there is no resocialization program""",half true,ka,საბოლოო პასუხი: მცდარი.,False,True
"Since 2013, we have been able to provide more than 16,000 IDP family housing, 5 0 of them ...",half true,ka,საბოლოო პასუხი: მცდარი,False,True
In all villages of Gori municipality there is a problem of irrigation water,mostly false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
14 million from Poti's 15 million budget only to salaries and different costs,false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა პრეტენზია „14 million from Poti's 15 million budget only to salaries and different costs“ მართალი, საჭიროა დეტალური ინფორმაცია Poti-ს ბიუჯეტის შესახებ. თუ Poti-ს ბიუჯეტი ნამდვილად 15 მილიონია და ამ თანხიდან 14 მილიონი იხარჯება მხოლოდ ხელფასებზე და სხვადასხვა ხარჯებზე, მაშინ პრეტენზია მართალია. 

თუ ეს ინფორმაცია ზუსტია, მაშინ პრეტენზია შეიძლება შეფასდეს როგორც „მართალი“. თუმცა, თუ თანხები ნაწილობრივ იხარჯება სხვა მიზნებისთვისაც, მაშინ პრეტენზია შეიძლება შეფასდეს როგორც „ნახევრად მართალია“ ან „ძირითადად მართალია“.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
"“No matter how the defendant wanted to discuss his case to jury, the prosecutor every month ...",false,ka,საბოლოო პასუხი: მცდარი,False,True
"“According to European, American experience, the head of administration is limited to have an academic…",mostly false,ka,საბოლოო პასუხი: მცდარი,False,True
"In the first quarter of 2017, Georgian exports to the EU increased by 44%",true,ka,საბოლოო პასუხი: მართალია.,False,True
Georgia has high economic growth rates compared to the region and the EU,false,ka,საბოლოო პასუხი: ძირითადად მართალია.,False,True
Tens of thousands of teachers and pensioners are less than dollar than in 2012,mostly true,ka,"იმისათვის, რომ ამ პრეტენზიის სიზუსტე შევაფასოთ, საჭიროა რამდენიმე ფაქტორის გათვალისწინება:

1. **ინფლაცია და მყიდველობითი უნარი**: თუ ინფლაცია გაიზარდა და ხელფასები ან პენსიები არ გაიზარდა შესაბამისი ტემპით, მაშინ შეიძლება ითქვას, რომ მასწავლებლები და პენსიონერები რეალურად ნაკლებად მყიდველობითი უნარით სარგებლობენ, ვიდრე 2012 წელს.

2. **ხელფასებისა და პენსიების ზრდა**: თუ ხელფასები და პენსიები გაიზარდა, მაგრამ არა საკმარისად, რომ ინფლაციას აჭარბებდეს, მაშინ ეს პრეტენზია შეიძლება იყოს მართალი ან ძირითადად მართალი.

3. **მონეტარული პოლიტიკა და ეკონომიკური პირობები**: თუ ეკონომიკური პირობები და მონეტარული პოლიტიკა არ შეცვლილა ისე, რომ მასწავლებლებისა და პენსიონერების შემოსავალი გაუმჯობესებულიყო, მაშინ ეს პრეტენზია შეიძლება იყოს მართალი.

ამ ფაქტორების გათვალისწინებით, თუ მონაცემები აჩვენებს, რომ მასწავლებლებისა და პენსიონერების რეალური შემოსავალი (ინფლაციის გათვალისწინებით) შემცირდა 2012 წელთან შედარებით, მაშინ პრეტენზია შეიძლება იყოს მართალი ან ძირითადად მართალი. თუ მონაცემები აჩვენებს, რომ მათი შემოსავალი გაიზარდა ან დარჩა იგივე, მაშინ პრეტენზია შეიძლება იყოს მცდარი ან ძირითადად მცდარი.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
No international assessment has been discussed in court corruption,mostly false,ka,საბოლოო პასუხი: მცდარი,False,True
We were building a large airport in Guria ... we started construction,mostly false,ka,საბოლოო პასუხი: მცდარი,False,True
"In 2004, when we surrendered to the government, the Kobuleti budget was 2.5 million, and in 2012, when it was ...",mostly true,ka,"იმისათვის, რომ შევაფასოთ ეს პრეტენზია, საჭიროა მეტი ინფორმაცია. კერძოდ, უნდა ვიცოდეთ:

1. რა არის ზუსტი ციფრები Kobuleti-ს ბიუჯეტის შესახებ 2004 და 2012 წლებში.
2. რა კონტექსტში მოხდა ""სurrender to the government"" და როგორ შეიძლება ეს გავლენა ჰქონდეს ბიუჯეტზე.

ამ ინფორმაციის გარეშე, შეუძლებელია ზუსტი შეფასების გაკეთება.

საბოლოო პასუხი: „ნახევრად მართალია“",False,True
Georgia has been practically the only country in recent periods that international rating ...,false,ka,საბოლოო პასუხი: მცდარი,False,True
Your Deputy Governor (Vake) caught the bribe of bribes when he received money in exchange for employment,true,ka,საბოლოო პასუხი: ეს პრეტენზია „ნახევრად მართალია“.,False,True
Georgia has missed the chance to participate in the North-South International Highway project,false,ka,საბოლოო პასუხი: მცდარი.,False,True
"""This is not the decriminalization of the law ... the criminal responsibility remains""",mostly false,ka,საბოლოო პასუხი: მართალია.,False,True
"500 IDPs House, & Nbsp; which was built by the previous government, Sozar Subari re -repaired",mostly false,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
Has doubled the volume of foreign direct investments compared to 2012,half true,ka,"ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა კონკრეტული მონაცემები 2012 წლის და მიმდინარე წლის უცხოური პირდაპირი ინვესტიციების მოცულობის შესახებ. თუ მოცემული მონაცემები აჩვენებს, რომ უცხოური პირდაპირი ინვესტიციების მოცულობა გაორმაგდა 2012 წელთან შედარებით, მაშინ პრეტენზია მართალია. თუ მოცულობა მნიშვნელოვნად გაიზარდა, მაგრამ არ გაორმაგდა, მაშინ პრეტენზია შეიძლება იყოს ძირითადად მართალი ან ნახევრად მართალი. თუ ზრდა მცირეა ან საერთოდ არ არის, მაშინ პრეტენზია შეიძლება იყოს ძირითადად მცდარი ან მცდარი.

საბოლოო პასუხი: მონაცემების გარეშე, შეუძლებელია ზუსტი შეფასების გაკეთება.",False,True
"The budget of the Ministry of Culture has increased to 128 million.Instead, when in December Vardzia's serious pro ...",half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"""When crossing the state border illegally, two different modes are established""",mostly false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
Marijuana that is used for medical purposes has no effect of drug addiction,true,ka,"საბოლოო პასუხი: მცდარი

მიუხედავად იმისა, რომ მარიხუანას შეიძლება ჰქონდეს სამედიცინო სარგებელი, ის მაინც შეიცავს ტეტრაჰიდროკანაბინოლს (THC), რომელიც არის ფსიქოაქტიური ნივთიერება და შეუძლია გამოიწვიოს დამოკიდებულება. სამედიცინო მარიხუანას გამოყენება არ გამორიცხავს დამოკიდებულების რისკს, განსაკუთრებით ხანგრძლივი ან არასწორი გამოყენების შემთხვევაში.",False,True
"The initiative to reflect on the constitution of the Euro-Atlantic Course in 2013, which the Republican ...",true,ka,"საბოლოო პასუხი: არასაკმარისი ინფორმაცია

ამ პრეტენზიის შეფასებისთვის საჭიროა მეტი კონტექსტი და ინფორმაცია. ტექსტი არ შეიცავს საკმარის დეტალებს იმის დასადგენად, თუ რა არის ზუსტად განხილული და რა არის პრეტენზიის საფუძველი.",False,True
"In 2011, 11 reports of the State Audit Office were sent to law enforcement agencies.Them n ... TRUE
Ar Misbar.com ىالإفراج الإفراج ...Anthrax ""by Anglo-American Media for her Unproven Association with the ...",false,ka,"საბოლოო პასუხი: მცდარი

The claim presented is fragmented and lacks context, making it difficult to verify its accuracy. Additionally, the mention of ""Anthrax"" and ""Anglo-American Media"" seems unrelated to the initial statement about the State Audit Office reports. Therefore, without further context or clarification, the claim cannot be accurately assessed and is deemed false.",False,True
"Fuel consumption in Tbilisi City Hall has increased eight times, soft furniture consumption - twice, and is one hundred thousand ...",mostly false,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
The use of force on the night of June 20 was legitimate ... All international organizations confirm ...,half true,ka,საბოლოო პასუხი: მცდარი,False,True
MIA has shown a different approach to the accused in the incidents of Marneuli and Kortskheli,true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
The government has suspended projects such as bypass railway and Saakadze Square overpass,mostly true,ka,საბოლოო პასუხი: მართალია,False,True
“Tbilisi City Hall has started selling the land with electronic auctions that have been resurrected by Vazisubani ...,half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"With the budget of 2017, the funding of infrastructure projects in Khelvachauri is reduced",false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა პრეტენზია „მართალია“, „ძირითადად მართალია“, „ნახევრად მართალია“, „ძირითადად მცდარი“ ან „მცდარი“, საჭიროა კონკრეტული ინფორმაცია 2017 წლის ბიუჯეტის შესახებ და მისი გავლენა კელვაჩაურის ინფრასტრუქტურულ პროექტებზე. 

თუ 2017 წლის ბიუჯეტში მართლაც შემცირდა კელვაჩაურის ინფრასტრუქტურული პროექტების დაფინანსება, მაშინ პრეტენზია შეიძლება იყოს „მართალი“ ან „ძირითადად მართალი“. თუ დაფინანსება არ შემცირდა ან გაიზარდა, მაშინ პრეტენზია იქნება „მცდარი“ ან „ძირითადად მცდარი“. 

ამ ინფორმაციის გარეშე, ვერ შევძლებ ზუსტ შეფასებას. 

საბოლოო პასუხი: ვერ განისაზღვრება საკმარისი ინფორმაციის გარეშე.",False,True
"“The number of employees in the public sector is increasing by about 10,000, as the government in the Kedo sector ...",half true,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა ეს პრეტენზია „მართალი“, „ძირითადად მართალი“, „ნახევრად მართალი“, „ძირითადად მცდარი“ ან „მცდარი“, საჭიროა მეტი ინფორმაცია. უნდა ვიცოდეთ, თუ რა მონაცემებზეა დაყრდნობილი ეს განცხადება და რამდენად შეესაბამება ის რეალურ ფაქტებს. 

მაგალითად, თუ ოფიციალური სტატისტიკა ან სანდო წყაროები ადასტურებენ, რომ საჯარო სექტორში დასაქმებულთა რაოდენობა მართლაც იზრდება დაახლოებით 10,000-ით, მაშინ პრეტენზია შეიძლება იყოს „მართალი“ ან „ძირითადად მართალი“. თუ მონაცემები აჩვენებს, რომ ზრდა ნაკლებია ან საერთოდ არ არის, მაშინ პრეტენზია შეიძლება იყოს „ნახევრად მართალი“, „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: დამატებითი ინფორმაციის გარეშე, შეუძლებელია ზუსტად განვსაზღვროთ.",False,True
"The Constitutional Commission has completed the work with zero results, and about 300 thousand GEL is being costed on it ...",true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"""None of the Ministers (after October 1, 2012) have changed the car""",mostly true,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა ეს პრეტენზია მართალი, საჭიროა ინფორმაცია იმის შესახებ, თუ რა მოხდა მინისტრების მანქანებთან 2012 წლის 1 ოქტომბრის შემდეგ. თუ ყველა მინისტრმა შეინარჩუნა იგივე მანქანა ამ თარიღის შემდეგ, მაშინ პრეტენზია მართალია. თუ რომელიმე მინისტრმა შეცვალა მანქანა, მაშინ პრეტენზია მცდარია.

იმის გათვალისწინებით, რომ მე არ მაქვს წვდომა ამ კონკრეტულ ინფორმაციაზე, ვერ ვადასტურებ პრეტენზიის სისწორეს ან მცდარობას.

საბოლოო პასუხი: ვერ დადასტურდება.",False,True
"“In 2012, during the Nationals, 10 people were arrested in connection with the criminal world ... we, 20 ...",mostly true,ka,საბოლოო პასუხი: მცდარი.,False,True
There is no more than three months of pre -election [official] period in European democracy,mostly true,ka,"საბოლოო პასუხი: მცდარი

ევროპის სხვადასხვა ქვეყნებში წინასაარჩევნო პერიოდის ხანგრძლივობა განსხვავებულია და არ არსებობს ერთიანი სტანდარტი, რომელიც განსაზღვრავს, რომ ეს პერიოდი არ უნდა აღემატებოდეს სამ თვეს. ზოგი ქვეყანაში წინასაარჩევნო პერიოდი შეიძლება იყოს უფრო ხანგრძლივი ან მოკლე, დამოკიდებულია ადგილობრივ კანონმდებლობაზე და საარჩევნო პროცესის სპეციფიკაზე.",False,True
"As for the restoration of justice, more than 300 public officials have been charged in previous years ...",mostly false,ka,საბოლოო პასუხი: მართალია,False,True
"Since 2012, the number of cars in Tbilisi has increased 2.5 times.This without increasing revenue ...",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"10 years for the private use of cannabis in France, the prison or 7.5 million euros is fine",false,ka,"საბოლოო პასუხი: მცდარი

საფრანგეთში კანაფის პირადი მოხმარება არ ისჯება 10 წლით თავისუფლების აღკვეთით ან 7.5 მილიონი ევროს ჯარიმით. პირადი მოხმარებისთვის კანაფის ფლობა საფრანგეთში არალეგალურია და შეიძლება გამოიწვიოს ჯარიმა ან სხვა ადმინისტრაციული სანქციები, მაგრამ ეს არ მოიცავს 10 წლით თავისუფლების აღკვეთას ან 7.5 მილიონი ევროს ჯარიმას. ასეთი მკაცრი სასჯელები უფრო მეტად ეხება ნარკოტიკების ვაჭრობას ან სხვა მძიმე ნარკოტიკულ დანაშაულებს.",False,True
"“From September 1, the Free Trade Zone Agreement with the EU will enter into force, ...",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"“The poor situation in the economy is contagious to other areas.For example, the holy profits of the railway ...",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"""We did in a very short time that the National Movement did not have done for 9 years,"" ...",mostly false,ka,"ამ განცხადების შეფასება მოითხოვს კონკრეტული ფაქტების და კონტექსტის ცოდნას. თუ განცხადება ეხება კონკრეტულ მიღწევას ან პროექტს, რომელიც ნამდვილად შესრულდა მოკლე დროში და რომელიც წინა 9 წლის განმავლობაში არ განხორციელებულა, მაშინ ეს შეიძლება იყოს მართალი ან ძირითადად მართალი. თუმცა, თუ განცხადება არის ზოგადი და არ არის მხარდაჭერილი კონკრეტული ფაქტებით, მაშინ ეს შეიძლება იყოს მცდარი ან ძირითადად მცდარი.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
"During his stay in the City Council, Aleko Elisashvili did not comply with any legislative initiatives for Tbilisi ...",false,ka,"იმისათვის, რომ ზუსტად შევაფასოთ ეს პრეტენზია, საჭიროა დეტალური ინფორმაცია Aleko Elisashvili-ის საქმიანობის შესახებ თბილისის საკრებულოში. თუ Elisashvili-მ მართლაც არ წარადგინა არცერთი საკანონმდებლო ინიციატივა თავისი საქმიანობის პერიოდში, მაშინ პრეტენზია შეიძლება იყოს „მართალი“. თუმცა, თუ მან წარადგინა გარკვეული ინიციატივები, მაშინ პრეტენზია შეიძლება იყოს „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: „მართალია“ ან „მცდარი“ დამოკიდებულია Elisashvili-ის საქმიანობის ფაქტობრივ მონაცემებზე. 

თუ Elisashvili-მ არ წარადგინა არცერთი საკანონმდებლო ინიციატივა:
საბოლოო პასუხი: მართალია.

თუ Elisashvili-მ წარადგინა საკანონმდებლო ინიციატივები:
საბოლოო პასუხი: მცდარი.",False,True
The 6 out of the 6 out of the president's notes were exactly the one that the Dream offered that ...,true,ka,საბოლოო პასუხი: მცდარი,False,True
Khelvachauri gasification had to be completed by the end of 2015,mostly false,ka,საბოლოო პასუხი: მართალია,False,True
The stadium on the Didgori Street in Tetritskaro was rehabilitated,true,ka,საბოლოო პასუხი: მართალია,False,True
"“In August 2011, unfortunately, the same number of [killings] - 11, what we have in 2014 ...",half true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"In 2018, the Ministry of Education has doubled compared to 2012.More than 65,000 mosters ...",mostly true,ka,საბოლოო პასუხი: მცდარი,False,True
Virtually all ministries salary is reduced,mostly true,ka,საბოლოო პასუხი: „ნახევრად მართალია“.,False,True
"Mamuka Tsaava was not an employee of us, he had worked there before",false,ka,საბოლოო პასუხი: მართალია.,False,True
"Due to the incompetence of the mayor of Rustavi, the city budget was damaged up to GEL 200,000",false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა პრეტენზია „მართალია“, „ძირითადად მართალია“, „ნახევრად მართალია“, „ძირითადად მცდარი“ ან „მცდარი“, საჭიროა მეტი ინფორმაცია და მტკიცებულება. უნდა ვიცოდეთ, თუ რა კონკრეტული ფაქტები და მტკიცებულებები არსებობს, რომლებიც ადასტურებენ ან უარყოფენ ამ პრეტენზიას.

თუ არსებობს დოკუმენტირებული მტკიცებულებები, რომლებიც აჩვენებს, რომ Rustavi-ს მერმა მართლაც გამოიწვია ქალაქის ბიუჯეტის დაზიანება GEL 200,000-მდე, მაშინ პრეტენზია შეიძლება იყოს „მართალი“ ან „ძირითადად მართალია“. თუ მტკიცებულებები ნაწილობრივ ადასტურებს პრეტენზიას, მაშინ შეიძლება იყოს „ნახევრად მართალია“. თუ მტკიცებულებები აჩვენებს, რომ მერის ქმედებები არ იყო დაკავშირებული ბიუჯეტის დაზიანებასთან, მაშინ პრეტენზია შეიძლება იყოს „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: ამ ეტაპზე, დამატებითი მტკიცებულებების გარეშე, შეუძლებელია ზუსტი შეფასების გაკეთება.",False,True
