claim,label,language,output,final_answer,correct,inconclusive
Says the Austin chapter of the League of Women Voters has no Republicans among elected officers or on its debate committee.,half true,en,Final Answer: True,true,False,False
Our government has spent $2.6 million to teach Chinese prostitutes how to drink responsibly.,half true,en,Final Answer: False,false,False,False
"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",true,en,Final Answer: Mostly True,mostly true,False,False
"Providence has ""the lowest crime rate in three decades.""",true,en,Final Answer: True,true,True,False
"In Sauk City, Wisconsin, ""the ID office"" that provides identification for voting ""is only open on the fifth Wednesday of every month"" -- a total of four days in 2016.",mostly true,en,Final Answer: False,false,False,False
"Says Wisconsin Gov. Scott Walker ""slashed"" pensions and benefits for public employees.",half true,en,Final Answer: Mostly True,mostly true,False,False
"In 2009, pre-Hillary, ISIS was not even on the map.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"Houston is ""the third-most toxic city in the United States of America.""",true,en,Final Answer: Mostly True,mostly true,False,False
"Between 2000 and 2006, ""health insurance company profits quadrupled.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Says Republicans ""just passed"" the Veterans Choice program after 44 years of trying. ""They've been trying to pass that one for many, many decades.""",false,en,Final Answer: Mostly True,mostly true,False,False
The head of the FBI has told Congress they cannot vet those (Syrian) refugees.,mostly false,en,Final Answer: Mostly True,mostly true,False,False
"In 2006, Arizona had four ballot issues that were ""very tough on illegal immigration... Forty-seven percent of the Hispanics in Arizona voted for them.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"Lean, finely textured beef is the proper name [not pink slime], and it is a safe, widely used product.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Congress, criminals, Scientologists and other groups are exempt from Obamacare.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"Atlanta Mayor Kasim Reed became a city resident in the last annexation, opening the door to his candidacy.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
I’ve been involved in prosecuting a terrorist member of ISIS.,false,en,Final Answer: Half True,half true,False,False
"Mitt Romney previously believed ""that abortion should be safe and legal in this country."" Now he is ""prolife.""",true,en,Final Answer: Mostly True,mostly true,False,False
The Washington Times ... pointed out that we had succeeded where previous administrations had failed on spending cuts.,mostly true,en,Final Answer: Mostly True,mostly true,True,False
Says Gov. Scott Walker cut aid to local schools despite campaigning on trying to restore two-thirds state funding for education,mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Says people who signed recall petitions against Wisconsin state Sen. Jim Holperin received ""harassing phone calls from out-of-state telemarketers claiming to represent the Democratic Party and insinuating foul play by petition circulators.""",true,en,Final Answer: Mostly True,mostly true,False,False
I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clinton's) position.,mostly true,en,Final Answer: Mostly False,mostly false,False,False
"Says Hillary Clinton ""viciously"" attacked women abused by Bill Clinton.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"Employers and schools have no right to conduct ""surveillance of a dorm room or a worker’s cubicle.""",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"When Susan Rice spoke about Benghazi on Sunday news shows, she said ""that al-Qaida might be involved, or other al-Qaida affiliates might be involved, or non-al-Qaida Libyan extremists, which I think demonstrates that there was no effort to play that down.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"Says that as Wisconsin governor he ""never raised taxes.""",false,en,Final Answer: Mostly False,mostly false,False,False
"Arizona is spending ""less on a per-capita basis than every single state in this country in higher education.""",mostly true,en,Final Answer: True,true,False,False
The Republican Party has not won a presidential election without either a Bush or a Nixon on the ticket since 1928.,true,en,Final Answer: True,true,True,False
Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.,false,en,Final Answer: False,false,True,False
"Says states not directly involved in the gay marriage lawsuits that reached the Supreme Court ""are not bound"" by the court’s ruling.",mostly false,en,Final Answer: False,false,False,False
"Says Gina Raimondo's ""venture capital firm secured a secret no-bid contract funded by taxpayers.""",mostly false,en,Final Answer: False,false,False,False
"If you're earning under $100,000 a year and you commute to New York every day you pay more to the Port Authority in tolls than you pay to the state of New Jersey in income tax.",true,en,"To evaluate the claim, we need to consider the tolls paid to the Port Authority for commuting to New York and the income tax paid to the state of New Jersey for someone earning under $100,000 a year.

1. **Tolls**: The tolls for commuting from New Jersey to New York can vary based on the specific bridge or tunnel used. For example, as of recent rates, a round trip toll for the George Washington Bridge is around $16 for cars. If someone commutes five days a week, that could amount to approximately $80 a week, or about $4,160 a year.

2. **New Jersey Income Tax**: New Jersey has a progressive income tax system. For someone earning under $100,000, the tax rate can range from 1.4% to 6.37%. For example, if someone earns $100,000, their income tax could be around $3,000 to $4,000 depending on deductions and specific tax brackets.

Given these estimates, it is plausible that the tolls paid to the Port Authority could exceed the income tax paid to New Jersey for someone earning under $100,000 a year, especially if they are commuting daily.

Based on this analysis, the claim appears to be accurate.

Final Answer: True",true,True,False
"The last private rocket launch ""cost $80 million. If the government did it, the same thing would have cost probably 40 or 50 times that amount of money. I mean, literally.""",half true,en,Final Answer: Mostly True,mostly true,False,False
"Wisconsin is ""not a high tax and fee state."" When you look at ""all the money state and local governments bring in"" from residents, ""we're more in the middle.""",half true,en,Final Answer: Mostly True,mostly true,False,False
"Says U.S. Sen. Ron Johnson, R-Wisconsin, was elected in a ""very low turnout"" race.",half true,en,Final Answer: Mostly True,mostly true,False,False
"Says President Barack Obama’s finance team is recommending a ""1% tax on all transactions at any financial institution.""",false,en,Final Answer: False,false,True,False
"Dozens of artists, including Justin Timberlake, Jay Z and Rihanna, are canceling Florida shows like Stevie Wonder in protest of ""stand your ground.""",false,en,Final Answer: Mostly True,mostly true,False,False
Georgia’s unemployment rate has exceeded the national rate for 50 consecutive months.,true,en,Final Answer: False,false,False,False
Says Gerald Daugherty is endorsed by the Austin American-Statesman.,false,en,Final Answer: False,false,True,False
"Nearly 6 in 10 uninsured Americans ""can get health insurance for what may be the equivalent of your cell phone bill.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"The economic ""turnaround started at the end of my term.""",half true,en,Final Answer: Half True,half true,True,False
We had an amendment in the health care law that said the federal government is going to take over education.,false,en,Final Answer: False,false,True,False
"Says Rick Scott ""didn’t even come to his own education summit. But he did take time to go to the tea party convention the same week.""",true,en,Final Answer: Mostly True,mostly true,False,False
"St. Pete Beach's experiences are a ""fair example"" of what could happen if Amendment 4 passes.",half true,en,Final Answer: Mostly True,mostly true,False,False
"Freshman Rep. Bob Gibbs ""is spending his one year anniversary on vacation — only working 6 days in all of January.""",false,en,Final Answer: Mostly True,mostly true,False,False
"Phoenix, Ariz., is the No. 2 kidnapping capital of the world.",false,en,Final Answer: Mostly False,mostly false,False,False
"Says Jon Ossoff wants to ""allow illegal immigration.""",mostly false,en,Final Answer: Mostly False,mostly false,True,False
Pads and tampons (are) still taxed when Viagra and Rogaine are not.,half true,en,Final Answer: Mostly True,mostly true,False,False
"President Obama has ""the worst ratings of any president at the end of his first year.""",mostly true,en,Final Answer: Mostly False,mostly false,False,False
"Hospitals have already begun layoffs, a direct result of Republican inaction on Medicaid expansion.",half true,en,Final Answer: Half True,half true,True,False
$3 billion over the next five years will be taken out of our public schools and be put into vouchers.,mostly false,en,Final Answer: Mostly True,mostly true,False,False
"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
2018-06-13T12:24:08,half true,en,Final Answer: False,false,False,False
Says Ron Paul insisted FEMA should be shut down.,true,en,Final Answer: True,true,True,False
"There are fewer wars, there are fewer people dying in wars ""now than there have been in quite some time.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Every four minutes, another American home or business goes solar.",true,en,Final Answer: Mostly True,mostly true,False,False
"Says Marco Rubio ""voted to deport"" young people known as Dreamers.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
Some countries are contributing (peacekeeping) troops because they're making money off of them.,mostly true,en,Final Answer: Mostly True,mostly true,True,False
"In the states that allow open carry, violent crime was 23 percent lower.",half true,en,Final Answer: Half True,half true,True,False
"We’re spending $12,000 bucks a kid a year in the school system.",true,en,Final Answer: Mostly True,mostly true,False,False
"Currently, when we ship products out of America, many other countries make us pay very high tariffs and taxes — but when foreign companies ship their products into America, we charge them nothing or almost nothing.",half true,en,Final Answer: Mostly True,mostly true,False,False
"A gas tax holiday ""would at best provide 30 cents a day for three months for a grand total of $28.""",mostly true,en,Final Answer: Mostly False,mostly false,False,False
"Says Alex Jones ""said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there.""",true,en,Final Answer: True,true,True,False
"Recommendations for a major tax overhaul for Georgia are an ""overall tax hike.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"As executive director of the Democratic Party of Virginia there were ""300 people on my payroll in 2008.""",half true,en,Final Answer: False,false,False,False
"For only the second time since 2000, there are more job openings than Americans who are unemployed.",true,en,Final Answer: True,true,True,False
"Says Scott Walker enacted ""the biggest cuts to education in our state’s history.""",true,en,Final Answer: Mostly True,mostly true,False,False
"Since 1968, ""more Americans have died from gunfire than died in … all the wars of this country's history.""",true,en,Final Answer: True,true,True,False
"Here in Florida, I’ve slashed government by 10 percent. That's $7 billion.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"For ""the average middle-class family, your taxes today are lower than when I took office.""",true,en,Final Answer: Mostly True,mostly true,False,False
"Says Hillary Clinton has ""been in office and in government longer than anybody else running here tonight.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"Says Doug Jones ""is for full-term abortion.""",false,en,Final Answer: Mostly False,mostly false,False,False
"When I was growing up as a kid in the city of Milwaukee, if we averaged 4 homicides a year in the entire city that was a record number.",false,en,Final Answer: False,false,True,False
"Women ""are still paid 82 cents for every dollar a man earns in Texas.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Of the 18 stadiums built from 2004 to 2013, 47 percent of the total cost came from public sources.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Every ""major newspaper in Texas calls"" David Dewhurst ""a moderate.""",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"Says the federal stimulus program was ineffective because ""the number of jobs has actually decreased by 18,300 through July 2011.""",half true,en,Final Answer: Mostly False,mostly false,False,False
"In 2009, we cut state spending in real terms for the first time in 150 years.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"There is ""a constitutional issue"" that affects ""the paychecks of members of Congress"" during a shutdown.",true,en,Final Answer: True,true,True,False
"Says James Comey suggested and CNN reported that the basis of the wiretapping warrant for Trump adviser Carter Page was ""all based on a dossier.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
Senator Jeff Plale saved my job -- and some 300 others at Bucyrus International.,mostly false,en,Final Answer: True,true,False,False
The GOP health care proposal would slash more than $135 million in federal funding available to PA schools.,false,en,Final Answer: True,true,False,False
"Says a 9-year-old girl was recently raped in Austin, Texas, by a guy previously ""caught four times and released.""",half true,en,Final Answer: Mostly True,mostly true,False,False
"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
The Department of Health and Human Services is providing $160 million to the state of Pennsylvania to set up a new high-risk insurance pool program that would cover any abortion legal in the state.,false,en,Final Answer: False,false,True,False
"Says a gun bill before the Senate would make it a federal felony to ""leave town for more than seven days, and leave someone else at home with your firearms.""",half true,en,Final Answer: False,false,False,False
The bulk of the people who are shot with a weapon — other than these drug gangs taking on one another — end up being shot with their own weapon.,half true,en,Final Answer: Mostly True,mostly true,False,False
"Right now, American oil production is the highest that it’s been in eight years.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"More than 10 years of free trade ""has brought a $2 billion per day trade deficit.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Says the United States is ""the Saudi Arabia of coal.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
Members of the public are being charged $50 to hear Gov. Scott Walker and a dozen members of his administration talk about jobs and the economy at Lambeau Field.,true,en,Final Answer: True,true,True,False
"Says Jeff Brandes voted to allow state-run Citizens Property Insurance to dump policies onto ""out-of-state, unregulated private companies.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
My supporters aren't special interest groups in Madison and Milwaukee.,mostly true,en,Final Answer: Mostly True,mostly true,True,False
Said that his batting average with Congress is higher than every other president since Dwight D. Eisenhower except Lyndon Johnson.,half true,en,Final Answer: Mostly True,mostly true,False,False
"I deployed the Texas National Guard to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
Clinton aides admit it (a gas tax holiday) won't do much for you – but would help her politically.,mostly false,en,Final Answer: Mostly True,mostly true,False,False
We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse.,false,en,Final Answer: Mostly True,mostly true,False,False
"Under Republican Chris Christie, New Jersey had the highest increase in unemployment in the country last year. Nearly 1 in 10 jobless. The worst unemployment in the region. Near the bottom in economic growth, yet Christie protected a tax cut for millionaires but vetoed a minimum wage hike.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
I was filibustered.,mostly true,en,Final Answer: Half True,half true,False,False
"Says Syrian refugees are not being vetted, and ""the FBI is not even being told where they are.""",mostly false,en,Final Answer: Mostly False,mostly false,True,False
This (Ebola) is not as bad as SARS was in 2003.,mostly false,en,Final Answer: Mostly False,mostly false,True,False
Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.,mostly false,en,Final Answer: False,false,False,False
More than one-quarter of America’s young adults are too fat to serve in the U.S. military,true,en,Final Answer: Mostly True,mostly true,False,False
The Democratic majority led the 111th Congress to spend more money in two years than the first 100 congresses before them combined.,false,en,Final Answer: Mostly False,mostly false,False,False
"Last year, I stopped an Obamacare bailout and saved taxpayers $2.5 billion.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"The city that I was mayor of was 50 percent Latino, and I won with 90 percent of the vote...",mostly false,en,Final Answer: Half True,half true,False,False
When did the decline of coal start? It started when natural gas took off … that started to begin in (President George W.) Bush’s administration.,half true,en,Final Answer: Mostly True,mostly true,False,False
"Says Winston Churchill said, ""The fascists of the future will call themselves anti-fascists.""",false,en,Final Answer: Mostly True,mostly true,False,False
We've made other countries rich while the wealth ... of our country has dissipated over the horizon.,mostly false,en,Final Answer: Mostly True,mostly true,False,False
"For years now, we have spent more money than we have taken in.",half true,en,Final Answer: True,true,False,False
"Ten times, no Republican candidate for president had enough delegates to claim the nomination before the party’s convention, and seven of those times ""somebody who was not the leader of delegates was selected as the nominee of the party.""",mostly true,en,Final Answer: Mostly True,mostly true,True,False
I never favored cap and trade.,false,en,Final Answer: False,false,True,False
Says New Hampshire had the fourth-lowest unemployment rate in the country during Maggie Hassan’s time in the state Senate.,half true,en,Final Answer: Mostly True,mostly true,False,False
Says Rick Perry increased spending in Texas by more than 50 percent.,half true,en,Final Answer: Mostly True,mostly true,False,False
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,true,en,"To evaluate the claim, we need to consider two parts: the number of starting quarterbacks the Chicago Bears have had in the last 10 years and the number of tenured faculty fired at the University of Washington (UW) in the last two decades.

1. **Chicago Bears Starting Quarterbacks**: The Bears have had a significant turnover in their quarterback position over the last decade. As of 2023, they have had around 10 different starting quarterbacks since 2013.

2. **Tenured Faculty Fired at UW**: The number of tenured faculty members fired at UW over the last 20 years is relatively low. Reports indicate that the number is typically in the single digits, often cited as fewer than 10.

Given this information, the claim that the Bears have had more starting quarterbacks in the last 10 years than the total number of tenured faculty fired at UW in the last two decades appears to be accurate.

Final Answer: True",true,True,False
"Twelve judges have thrown out legal challenges to the health care law because they rejected ""the notion that the health care law was unconstitutional.""",false,en,Final Answer: Mostly True,mostly true,False,False
"If you are driving on average in America this summer, you'll save — according to Department of Energy figures — about $70.",false,en,Final Answer: Half True,half true,False,False
"Protesters in La Crosse blocked an exit and surrounded a State Patrol car carrying the governor and were ""beating on the windows and rocking the vehicle."" When the car was ""extricated"" from the crowd, a truck blocked a second exit.",false,en,Final Answer: True,true,False,False
I’m the first Democrat to ever lead Scott Walker in an election year.,false,en,Final Answer: True,true,False,False
U.S. Embassy Celebrates America’s Independence on June 4th in Order to Accommodate Muslims.,mostly true,en,Final Answer: False,false,False,False
"Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.",half true,en,Final Answer: False,false,False,False
"Says New Jersey’s job growth in May represents ""25 percent of all the jobs created in the country.""",false,en,"To evaluate the claim that New Jersey’s job growth in May represents ""25 percent of all the jobs created in the country,"" we need to check the actual job growth figures for New Jersey and the total job growth in the United States for that month.

If New Jersey created a significant number of jobs in May, and that number is indeed 25 percent of the total jobs created in the U.S. for that month, then the claim would be true. However, if the actual percentage is lower or higher than 25 percent, the claim would be rated accordingly.

Without specific data from May regarding the number of jobs created in New Jersey and the total jobs created in the U.S., I cannot definitively assess the accuracy of the claim.

However, if we assume that the claim is based on accurate data, and New Jersey did indeed account for 25 percent of the job growth, then the claim would be ""True."" If it was less than that, it would be ""Mostly False"" or ""False,"" and if it was more, it would be ""Mostly True.""

Since I do not have the specific data to confirm or deny the claim, I will provide a cautious response.

Final Answer: Half True",half true,False,False
"It doesn't make sense ""historically"" to drop out because the 1968 race was still competitive when ""Bobby Kennedy was assassinated in June in California.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"House Republican plan would increase costs for Oregon seniors by $6,000 with health care vouchers instead of Medicare",mostly true,en,Final Answer: Mostly True,mostly true,True,False
"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",false,en,Final Answer: Mostly True,mostly true,False,False
"Joe Morrissey ""has been a delegate in the General Assembly for eight years with no laws passed to help our black community with education or workforce.""",half true,en,Final Answer: Half True,half true,True,False
(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere.,mostly true,en,Final Answer: Mostly False,mostly false,False,False
false,false,en,Final Answer: False,false,True,False
"Says ""Amanda Fritz publicly claimed to be endorsed by NARAL Pro-Choice Oregon, both on her website and in the voter’s guide.""",half true,en,Final Answer: True,true,False,False
"Of the roughly 15 percent of Americans who don’t have health insurance, ""half of them made more than $50,000 a year.""",false,en,Final Answer: Mostly True,mostly true,False,False
"Says Marco Rubio said ""we should be considering internment"" of Muslims, and ""maybe we should close down cafes and diners where Muslims gather and in fact compared them to the Nazi party.""",false,en,Final Answer: False,false,True,False
We have counties where there have been one arrest under the SAFE Act. It indicates there's not a whole lot of interest in enforcing this in our upstate counties.,half true,en,Final Answer: Mostly True,mostly true,False,False
"Mike Madigan made a fortune on tax appeals… Saving his friends millions... It’s an inside game played by people like Merry Marwig, Madigan’s hand-picked candidate. When Marwig thought her property taxes were too high she got them lowered at your expense. Saved so much she did it again. Marwig and Madigan: Profiting from the same corrupt system.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
A database police use to look up wanted suspects excludes certain warrants issued by Atlanta Municipal Court.,true,en,Final Answer: True,true,True,False
"For every [coyote] they kill, the population will replace and usually multiply.",mostly true,en,Final Answer: Mostly True,mostly true,True,False
Obama’s Private ‘security’ Company Sets Up Massive Camps Outside 3 Major Cities.,false,en,Final Answer: False,false,True,False
Nobody dies because they don’t have access to health care.,false,en,Final Answer: False,false,True,False
Austin is the safest big city in Texas.,half true,en,Final Answer: Mostly True,mostly true,False,False
"Last week Senator Obama's running mate said, get this, 'Raising taxes is patriotic.' ",mostly false,en,Final Answer: Mostly True,mostly true,False,False
It is already in the law that there is a requirement to screen (refugees) for religion.,mostly true,en,Final Answer: False,false,False,False
"Says the United States is in ""the worst recovery from an economic recession since World War II.""",half true,en,Final Answer: Mostly True,mostly true,False,False
"In an average grocery store, roughly 75 percent of processed foods contain genetically modified organisms, or GMOs.",half true,en,Final Answer: Mostly True,mostly true,False,False
The top 1 percent pay over half of the entire revenue for this country.,false,en,Final Answer: Mostly True,mostly true,False,False
I'm the only governor in America ... who signed a law that says there needs to be an independent investigation any time there's a death of someone in police custody.,true,en,Final Answer: Mostly True,mostly true,False,False
"The language that's part of the president's National Security Council memo ""is identical to the language"" used by President George W. Bush in 2001 and President Barack Obama in 2009.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"The centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots.",false,en,Final Answer: Mostly True,mostly true,False,False
"John McCain's health care plan ""leaves you on your own to pay McCain’s health insurance tax.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
Babysitter on crystal meth eats 3-month-old baby.,false,en,Final Answer: False,false,True,False
Ninety percent of the topsoil has inadequate moisture to grow crops.,true,en,Final Answer: Mostly False,mostly false,False,False
Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.,true,en,Final Answer: Mostly True,mostly true,False,False
"Palin had ""executive experience"" in the PTA.",false,en,Final Answer: Mostly False,mostly false,False,False
"Says Mitt Romney suggested that ""employers should be able to make the decision as to whether or not a woman gets contraception through her insurance coverage.""",true,en,Final Answer: True,true,True,False
Canada Pays Off Entire Federal Debt One Day After Marijuana Legalization,false,en,Final Answer: False,false,True,False
"Says ""a Republican hasn't won [an election] for a presidency in New Jersey since 1988.""",true,en,Final Answer: True,true,True,False
The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.,mostly false,en,Final Answer: False,false,False,False
"Says because of his actions, Wisconsin ""property taxes today are lower than they were four years ago.""",mostly true,en,Final Answer: True,true,False,False
Democrats very much are in the pocket of the NRA.,mostly false,en,Final Answer: False,false,False,False
"In Congress, (Cresent Hardy) voted to defund DACA.",half true,en,Final Answer: True,true,False,False
"Says Bernie Sanders’ health care plan would ""empower Republican governors to take away Medicaid, to take away health insurance for low-income and middle-income working Americans.""",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.""",false,en,Final Answer: Mostly True,mostly true,False,False
"Says the United States has ""treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"Spending on welfare, on prisons, and education, all of those have dropped by hundreds of millions of dollars because of Arizona’s immigration laws that drove out undocumented immigrants.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"All members of Congress are required to be in Obamacare, but Obama and members of his administration ""have their own gold-plated health care plans that they're in.""",half true,en,Final Answer: Mostly False,mostly false,False,False
"In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.",mostly true,en,Final Answer: True,true,False,False
"Says Rep. Kyrsten Sinema supported a bill that is ""essentially encouraging child trafficking.""",false,en,Final Answer: Mostly False,mostly false,False,False
"Unlike virtually every other campaign, we don't have a super PAC.",mostly true,en,Final Answer: True,true,False,False
"Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jersey’s best teachers, and the most education funding ever.",half true,en,Final Answer: Mostly True,mostly true,False,False
"Says he ""came to the Republican Party sooner in age"" than Ronald Reagan.",true,en,Final Answer: Mostly True,mostly true,False,False
"According to a recent Congressional Budget Office report, under Obamacare, 7 million people will lose their employer-sponsored insurance.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
McCain voted 19 times against a minimum-wage increase.,true,en,Final Answer: True,true,True,False
Sixty-two percent of all (Texas) property taxes are paid by businesses.,half true,en,Final Answer: Mostly True,mostly true,False,False
"In ""the fall of 2009, only 21 percent of Texas high school graduates enrolled in a four-year public university.""",half true,en,Final Answer: Mostly True,mostly true,False,False
"When a Gallup poll asked about presidential candidate characteristics, ""When they get to the question on, 'Would you vote for a socialist,' it is even less popular than voting for atheists.""",true,en,Final Answer: Mostly True,mostly true,False,False
The insurance risk corridors aren't going broke like Republicans predicted.,mostly false,en,Final Answer: True,true,False,False
